#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Takifugu bimaculatus","Eukaryota;Animals;Fishes","TB-2018","SAMN10524747","PRJNA508537","GCA_004026145.1"," Chromosome",371.676,45.4074,"chromosome 1:CP034975.1; chromosome 2:CP034986.1; chromosome 3:CP034990.1; chromosome 4:CP034991.1; chromosome 5:CP034992.1; chromosome 6:CP034993.1; chromosome 7:CP034994.1; chromosome 8:CP034995.1; chromosome 9:CP034996.1; chromosome 10:CP034976.1; chromosome 11:CP034977.1; chromosome 12:CP034978.1; chromosome 13:CP034979.1; chromosome 14:CP034980.1; chromosome 15:CP034981.1; chromosome 16:CP034982.1; chromosome 17:CP034983.1; chromosome 18:CP034984.1; chromosome 19:CP034985.1; chromosome 20:CP034987.1; chromosome 21:CP034988.1; chromosome 22:CP034989.1",,22,19334,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/145/GCA_004026145.1_ASM402614v1",
"Miniopterus schreibersii","Eukaryota;Animals;Mammals","US075","SAMN07678147","PRJNA399366","GCA_004026525.1","Scaffold",1775.85,42.3,,"PVJG01",177620,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/525/GCA_004026525.1_MinSch_v1_BIUU",
"Mormoops blainvillei","Eukaryota;Animals;Mammals","US096","SAMN07678133","PRJNA399472","GCA_004026545.1","Scaffold",2111.75,41.7,,"PVJD01",205259,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/545/GCA_004026545.1_MorMeg_v1_BIUU",
"Pipistrellus pipistrellus","Eukaryota;Animals;Mammals","US040","SAMN07678120","PRJNA399427","GCA_004026625.1","Scaffold",2090.67,42.9,,"PVIQ01",726104,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/625/GCA_004026625.1_PipPip_v1_BIUU",
"Murina aurata feae","Eukaryota;Animals;Mammals","US074","SAMN07678148","PRJNA399367","GCA_004026665.1","Scaffold",2331.55,43.8,,"PVJC01",880177,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/665/GCA_004026665.1_MurFea_v1_BIUU",
"Pithecia pithecia","Eukaryota;Animals;Mammals","BS33","SAMN07678106","PRJNA399413","GCA_004026645.1","Scaffold",2933.56,40.6,,"PVIP01",892330,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/645/GCA_004026645.1_PitPit_v1_BIUU",
"Micronycteris hirsuta","Eukaryota;Animals;Mammals","US037","SAMN07678146","PRJNA399354","GCA_004026765.1","Scaffold",2314.65,42.4,,"PVJI01",550090,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/765/GCA_004026765.1_MicHir_v1_BIUU",
"Microgale talazaci","Eukaryota;Animals;Mammals","US118","SAMN07678058","PRJNA399450","GCA_004026705.1","Scaffold",3236.15,43,,"PVJH01",788895,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/705/GCA_004026705.1_MicTal_v1_BIUU",
"Hemitragus hylocrius","Eukaryota;Animals;Mammals","BS50","SAMN07678087","PRJNA399397","GCA_004026825.1","Scaffold",2715.04,42.4,,"PVJR01",469163,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/825/GCA_004026825.1_HemHyl_v1_BIUU",
"Onychomys torridus","Eukaryota;Animals;Mammals","US017","SAMN07678022","PRJNA399348","GCA_004026725.1","Scaffold",3202.22,41.6,,"PVIT01",2261735,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/725/GCA_004026725.1_OnyTor_v1_BIUU",
"Heterohyrax brucei","Eukaryota;Animals;Mammals","US064","SAMN07678088","PRJNA399398","GCA_004026845.1","Scaffold",3618.15,40.9,,"PVJQ01",967933,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/845/GCA_004026845.1_HetBruBak_v1_BIUU",
"Hystrix cristata","Eukaryota;Animals;Mammals","US031","SAMN07678090","PRJNA399401","GCA_004026905.1","Scaffold",2470.92,41.5,,"PVJO01",1136598,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/905/GCA_004026905.1_HysCri_v1_BIUU",
"Petromus typicus","Eukaryota;Animals;Mammals","US052","SAMN07678021","PRJNA399347","GCA_004026965.1","Scaffold",2389.37,41.8,,"PVIR01",910679,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/965/GCA_004026965.1_PetTyp_v1_BIUU",
"Muscardinus avellanarius","Eukaryota;Animals;Mammals","US077","SAMN07678014","PRJNA399340","GCA_004027005.1","Scaffold",2527.15,41.6,,"PVJB01",466805,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/005/GCA_004027005.1_MusAve_v1_BIUU",
"Mesoplodon bidens","Eukaryota;Animals;Mammals","US080","SAMN07678145","PRJNA399476","GCA_004027085.1","Scaffold",2797.69,41.7,,"PVJJ01",1801720,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/085/GCA_004027085.1_MesBid_v1_BIUU",
"Ctenodactylus gundi","Eukaryota;Animals;Mammals","US049","SAMN07678018","PRJNA399344","GCA_004027205.1","Scaffold",2322.47,42.7,,"PVKB01",860073,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/205/GCA_004027205.1_CteGun_v1_BIUU",
"Dolichotis patagonum","Eukaryota;Animals;Mammals","US062","SAMN07678081","PRJNA399391","GCA_004027295.1","Scaffold",3289.61,39.8,,"PVJX01",1905764,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/295/GCA_004027295.1_DolPat_v1_BIUU",
"Macroglossus sobrinus","Eukaryota;Animals;Mammals","US102","SAMN07678028","PRJNA399443","GCA_004027375.1","Scaffold",1897.64,39.6,,"PVKZ01",171985,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/375/GCA_004027375.1_MacSob_v1_BIUU",
"Hipposideros galeritus","Eukaryota;Animals;Mammals","US101","SAMN07678026","PRJNA399442","GCA_004027415.1","Scaffold",2440.75,41.3,,"PVLB01",840200,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/415/GCA_004027415.1_HipGal_v1_BIUU",
"Hydrochoerus hydrochaeris","Eukaryota;Animals;Mammals","US065","SAMN07678143","PRJNA399400","GCA_004027455.1","Scaffold",2734.59,39.8,,"PVLA01",655342,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/455/GCA_004027455.1_HydHyd_v1_BIUU",
"Craseonycteris thonglongyai","Eukaryota;Animals;Mammals","US097","SAMN07678039","PRJNA399445","GCA_004027555.1","Scaffold",2272.09,41,,"PVKE01",1224256,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/555/GCA_004027555.1_CraTho_v1_BIUU",
"Cricetomys gambianus","Eukaryota;Animals;Mammals","US082","SAMN07678025","PRJNA399436","GCA_004027575.1","Scaffold",2397.72,42.1,,"PVKD01",1102952,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/575/GCA_004027575.1_CriGam_v1_BIUU",
"Dinomys branickii","Eukaryota;Animals;Mammals","US070","SAMN07678079","PRJNA399389","GCA_004027595.1","Scaffold",2688.56,41.8,,"PVLD01",1158438,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/595/GCA_004027595.1_DinBra_v1_BIUU",
"Graphiurus murinus","Eukaryota;Animals;Mammals","US067","SAMN07678085","PRJNA399395","GCA_004027655.1","Scaffold",2815.01,41.5,,"PVLC01",1267939,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/655/GCA_004027655.1_GraMur_v1_BIUU",
"Cavia tschudii","Eukaryota;Animals;Mammals","US050","SAMN07678017","PRJNA399343","GCA_004027695.1","Scaffold",3077.35,40.1,,"PVKK01",1368179,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/695/GCA_004027695.1_CavTsc_v1_BIUU",
"Cercopithecus neglectus","Eukaryota;Animals;Mammals","BS29","SAMN07678070","PRJNA399380","GCA_004027615.1","Scaffold",3278.86,41.2,,"PVKI01",2119200,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/615/GCA_004027615.1_CertNeg_v1_BIUU",
"Crocidura indochinensis","Eukaryota;Animals;Mammals","US011","SAMN07678044","PRJNA399360","GCA_004027635.1","Scaffold",3082.22,39.8,,"PVKC01",2415412,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/635/GCA_004027635.1_CroInd_v1_BIUU",
"Alouatta palliata","Eukaryota;Animals;Mammals","BS02","SAMN07678036","PRJNA399372","GCA_004027835.1","Scaffold",3033.62,40.8,,"PVKV01",1136565,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/835/GCA_004027835.1_AloPal_v1_BIUU",
"Aplodontia rufa","Eukaryota;Animals;Mammals","BS102","SAMN07678037","PRJNA399342","GCA_004027875.1","Scaffold",3005.54,40.6,,"PVKS01",1279526,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/875/GCA_004027875.1_AplRuf_v1_BIUU",
"Allactaga bullata","Eukaryota;Animals;Mammals","US110","SAMN07678035","PRJNA399447","GCA_004027895.1","Scaffold",3093.58,41.9,,"PVKW01",1284382,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/895/GCA_004027895.1_AllBul_v1_BIUU",
"Capromys pilorides","Eukaryota;Animals;Mammals","US015","SAMN07678066","PRJNA399377","GCA_004027915.1","Scaffold",3023.85,42,,"PVKN01",2352358,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/915/GCA_004027915.1_CapPil_v1_BIUU",
"Rhabditida sp. S2_005_001R2","Eukaryota;Animals;Roundworms","S2_005_001R2a","SAMN09217385","PRJNA471744","GCA_004026265.1","Scaffold",50.5001,38.9,,"SCGM01",7148,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/265/GCA_004026265.1_ASM402626v1",
"Diptera sp. S2_005_002R2","Eukaryota;Animals;Insects","S2_005_002R2b","SAMN09217386","PRJNA471744","GCA_004026295.1","Scaffold",43.7685,42.3,,"SCGR01",8507,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/295/GCA_004026295.1_ASM402629v1",
"Hydrophis cyanocinctus","Eukaryota;Animals;Reptiles","QH_1-3","SAMN10441167","PRJNA506024","GCA_004023725.1","Scaffold",1389.86,37.6,,"RSAE01",546690,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/725/GCA_004023725.1_ASM402372v1",
"Hydrophis hardwickii","Eukaryota;Animals;Reptiles","PK_1-3","SAMN10441168","PRJNA506024","GCA_004023765.1","Scaffold",1296.39,37.2,,"RSAD01",616046,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/765/GCA_004023765.1_ASM402376v1",
"Mungos mungo","Eukaryota;Animals;Mammals","US063","SAMN07678097","PRJNA399406","GCA_004023785.1","Scaffold",2448.21,42,,"PISW01",312364,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/785/GCA_004023785.1_MunMun_v1_BIUU",
"Helogale parvula","Eukaryota;Animals;Mammals","US077","SAMN07678086","PRJNA399396","GCA_004023845.1","Scaffold",2392.47,41.8,,"PJEM01",189370,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/845/GCA_004023845.1_HelPar_v1_BIUU",
"Mirounga angustirostris","Eukaryota;Animals;Mammals","BS05","SAMN07678016","PRJNA399341","GCA_004023865.1","Scaffold",2407.32,41.5,,"PITE01",321256,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/865/GCA_004023865.1_MirAng_v1_BIUU",
"Cryptoprocta ferox","Eukaryota;Animals;Mammals","BS36","SAMN07678074","PRJNA399384","GCA_004023885.1","Scaffold",2458.85,41.5,,"PJEU01",464036,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/885/GCA_004023885.1_CryFer_v1_BIUU",
"Suricata suricatta","Eukaryota;Animals;Mammals","VVHF042","SAMN11840572","PRJNA553468","GCA_006229205.1"," Chromosome",2353.58,41.7112,"chromosome 1:NC_043700.1/CM016971.1; chromosome 2:NC_043701.1/CM016972.1; chromosome 3:NC_043702.1/CM016973.1; chromosome 4:NC_043703.1/CM016974.1; chromosome 5:NC_043704.1/CM016975.1; chromosome 6:NC_043705.1/CM016976.1; chromosome 7:NC_043706.1/CM016977.1; chromosome 8:NC_043707.1/CM016978.1; chromosome 9:NC_043708.1/CM016979.1; chromosome 10:NC_043709.1/CM016980.1; chromosome 11:NC_043710.1/CM016981.1; chromosome 12:NC_043711.1/CM016982.1; chromosome 13:NC_043712.1/CM016983.1; chromosome 14:NC_043713.1/CM016984.1; chromosome 15:NC_043714.1/CM016985.1; chromosome 16:NC_043715.1/CM016986.1; chromosome 17:NC_043716.1/CM016987.1; chromosome X:NC_043717.1/CM016988.1","VCRZ01",63791,43269,"2019-06-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/229/205/GCA_006229205.1_meerkat_22Aug2017_6uvM2_HiC","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/229/205/GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC"
"Spilogale gracilis","Eukaryota;Animals;Mammals","US072","SAMN07678050","PRJNA399437","GCA_004023965.1","Scaffold",2463.32,41.6,,"PITA01",422009,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/965/GCA_004023965.1_SpiGra_v1_BIUU",
"Paradoxurus hermaphroditus","Eukaryota;Animals;Mammals","BSD07","SAMN07678048","PRJNA399364","GCA_004024585.1","Scaffold",2477.23,42.5,,"PITB01",438125,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/585/GCA_004024585.1_ParHer_v1_BIUU",
"Pteronura brasiliensis","Eukaryota;Animals;Mammals","BS51","SAMN07678049","PRJNA399365","GCA_004024605.1","Scaffold",2602.28,41.7,,"PJEN01",644728,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/605/GCA_004024605.1_PteBra_v1_BIUU",
"Mellivora capensis","Eukaryota;Animals;Mammals","BS25","SAMN07678094","PRJNA399403","GCA_004024625.1","Scaffold",3091.17,42,,"PISX01",2068312,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/625/GCA_004024625.1_MelCap_v1_BIUU",
"Dipodomys stephensi","Eukaryota;Animals;Mammals","BS19","SAMN07678080","PRJNA399390","GCA_004024685.1","Scaffold",2346.42,41.9,,"PVHN01",1269643,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/685/GCA_004024685.1_DipSte_v1_BIUU",
"Xerus inauris","Eukaryota;Animals;Mammals","US057","SAMN07678119","PRJNA399425","GCA_004024805.1","Scaffold",2601.42,40,,"PVHX01",577370,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/805/GCA_004024805.1_XerIna_v1_BIUU",
"Catagonus wagneri","Eukaryota;Animals;Mammals","BS18","SAMN07678067","PRJNA399378","GCA_004024745.2","Scaffold",2640.07,41.6,,"PVHT02",1183730,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/745/GCA_004024745.2_CatWag_v2_BIUU_UCD",
"Zapus hudsonius","Eukaryota;Animals;Mammals","BS14","SAMN07678139","PRJNA399434","GCA_004024765.1","Scaffold",2611.19,42.3,,"PVHP01",1158100,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/765/GCA_004024765.1_ZapHud_v1_BIUU",
"Ateles geoffroyi","Eukaryota;Animals;Mammals","BS17","SAMN07678064","PRJNA399374","GCA_004024785.1","Scaffold",2897.03,40.7,,"PVHS01",869075,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/785/GCA_004024785.1_AteGeo_v1_BIUU",
"Saguinus imperator","Eukaryota;Animals;Mammals","BS22","SAMN07678110","PRJNA399417","GCA_004024885.1","Scaffold",3493.72,40.8,,"PVHO01",1666189,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/885/GCA_004024885.1_SagImp_v1_BIUU",
"Scalopus aquaticus","Eukaryota;Animals;Mammals","US009","SAMN07678045","PRJNA399361","GCA_004024925.1","Scaffold",2068.87,42,,"PVIJ01",640296,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/925/GCA_004024925.1_ScaAqu_v1_BIUU",
"Tragulus javanicus","Eukaryota;Animals;Mammals","US108","SAMN07678116","PRJNA399456","GCA_004024965.2","Scaffold",2589.96,42.6,,"PVHZ02",1082489,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/965/GCA_004024965.2_ASM402496v2",
"Tadarida brasiliensis","Eukaryota;Animals;Mammals","US034","SAMN07678131","PRJNA399430","GCA_004025005.1","Scaffold",2709.93,42.4,,"PVIG01",1067615,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/025/005/GCA_004025005.1_TadBra_v1_BIUU",
"Sinella curviseta","Eukaryota;Animals;Insects","NJ population","SAMN10147912","PRJNA494047","GCA_004115045.1","Contig",381.459,37.5,,"RBVU01",599,0,"2019-01-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/045/GCA_004115045.1_ASM411504v1",
"Phyllostomus discolor","Eukaryota;Animals;Mammals","MPI-MPIP mPhyDis1","SAMN09948786","PRJNA524358","GCA_004126475.2"," Chromosome",2117.76,42.4541,"chromosome 1:NC_040903.1/CM014254.1; chromosome 2:NC_040904.1/CM014255.1; chromosome 3:NC_040905.1/CM014256.1; chromosome 4:NC_040906.1/CM014257.1; chromosome 5:NC_040907.1/CM014258.1; chromosome 6:NC_040908.1/CM014259.1; chromosome 7:NC_040909.1/CM014260.1; chromosome 8:NC_040910.1/CM014261.1; chromosome 9:NC_040911.1/CM014262.1; chromosome 10:NC_040912.1/CM014263.1; chromosome 11:NC_040913.1/CM014264.1; chromosome 12:NC_040914.1/CM014265.1; chromosome 13:NC_040915.1/CM014266.1; chromosome 14:NC_040916.1/CM014267.1; chromosome 15:NC_040917.1/CM014268.1; chromosome 16:NC_040918.1/CM014269.1; mitochondrion MT:CM016611.1","RXPA01",141,33103,"2019-01-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/126/475/GCA_004126475.2_mPhyDis1_v1.p","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/126/475/GCF_004126475.1_mPhyDis1_v1.p"
"Poropuntius huangchuchieni","Eukaryota;Animals;Fishes","Phu-2017","SAMN10662616","PRJNA511031","GCA_004124795.1","Scaffold",760.177,35.4,,"SCHK01",625277,0,"2019-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/124/795/GCA_004124795.1_ASM412479v1",
"Hydra viridissima","Eukaryota;Animals;Other Animals","Nicolet","SAMN08153367","PRJNA419866","GCA_004118115.1","Scaffold",298.8,33.2,,"PJUU01",85674,0,"2019-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/118/115/GCA_004118115.1_Hvir_v1",
"Drosophila melanica","Eukaryota;Animals;Insects","15030-1141.03_faw","SAMN10699364","PRJNA512892","GCA_004143765.1","Scaffold",149.952,40,,"SCDT01",17413,0,"2019-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/143/765/GCA_004143765.1_ASM414376v1",
"Drosophila robusta","Eukaryota;Animals;Insects","15020-1111.10_faw","SAMN10699359","PRJNA512892","GCA_004143805.1","Scaffold",179.074,40.9,,"SCDV01",16902,0,"2019-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/143/805/GCA_004143805.1_ASM414380v1",
"Drosophila micromelanica","Eukaryota;Animals;Insects","15030.1151.01_maw","SAMN10699356","PRJNA512892","GCA_004143825.1","Scaffold",156.838,39.2,,"SCDY01",30879,0,"2019-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/143/825/GCA_004143825.1_ASM414382v1",
"Drosophila lacertosa","Eukaryota;Animals;Insects","E-14007_faw","SAMN10699355","PRJNA512892","GCA_004143845.1","Scaffold",154.131,39.4,,"SCDZ01",21840,0,"2019-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/143/845/GCA_004143845.1_ASM414384v1",
"Drosophila nigromelanica","Eukaryota;Animals;Insects","E-22901_faw","SAMN10699369","PRJNA512892","GCA_004149445.1","Scaffold",162.544,40.3,,"SCDR01",22432,0,"2019-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/149/445/GCA_004149445.1_ASM414944v1",
"Osmia bicornis bicornis","Eukaryota;Animals;Insects","LIB18336","SAMN05967202","PRJNA542365","GCA_004153925.1","Scaffold",210.591,39.8,,"MPJT01",10222,24839,"2019-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/153/925/GCA_004153925.1_Obicornis_v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/153/925/GCF_004153925.1_Obicornis_v3"
"Aurelia aurita complex sp. Pacific","Eukaryota;Animals;Other Animals","jellyfish_7","SAMN10234636","PRJNA494062","GCA_004194395.1","Scaffold",426.022,32.1,,"REGL01",7715,0,"2019-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/194/395/GCA_004194395.1_ARSv1",
"Ditylenchus dipsaci","Eukaryota;Animals;Roundworms","pooled J2","SAMN10472552","PRJNA498219","GCA_004194705.1","Scaffold",227.234,37.5,,"SADC01",1394,0,"2019-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/194/705/GCA_004194705.1_D.dipsaci.v1.0",
"Schistosoma bovis","Eukaryota;Animals;Flatworms","TAN1997","SAMN08957538","PRJNA451066","GCA_003958945.1","Scaffold",373.478,33.1998,"mitochondrion MT:CM014335.1","QMKO01",4774,11576,"2018-12-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/958/945/GCA_003958945.1_ASM395894v1",
"Cottoperca gobio","Eukaryota;Animals;Fishes","","SAMEA104242975","PRJEB30248","GCA_900634415.1"," Chromosome",609.392,40.9976,"chromosome 1:NC_041355.1/LR131916.1; chromosome 2:NC_041356.1/LR131927.1; chromosome 3:NC_041357.1/LR131933.1; chromosome 4:NC_041358.1/LR131934.1; chromosome 5:NC_041359.1/LR131935.1; chromosome 6:NC_041360.1/LR131936.1; chromosome 7:NC_041361.1/LR131937.1; chromosome 8:NC_041362.1/LR131938.1; chromosome 9:NC_041363.1/LR131939.1; chromosome 10:NC_041364.1/LR131917.1; chromosome 11:NC_041365.1/LR131918.1; chromosome 12:NC_041366.1/LR131919.1; chromosome 13:NC_041367.1/LR131920.1; chromosome 14:NC_041368.1/LR131921.1; chromosome 15:NC_041369.1/LR131922.1; chromosome 16:NC_041370.1/LR131923.1; chromosome 17:NC_041371.1/LR131924.1; chromosome 18:NC_041372.1/LR131925.1; chromosome 19:NC_041373.1/LR131926.1; chromosome 20:NC_041374.1/LR131928.1; chromosome 21:NC_041375.1/LR131929.1; chromosome 22:NC_041376.1/LR131930.1; chromosome 23:NC_041377.1/LR131931.1; chromosome 24:NC_041378.1/LR131932.1","CAAAFJ01",322,37849,"2018-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/415/GCA_900634415.1_fCotGob3.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/415/GCF_900634415.1_fCotGob3.1"
"Parambassis ranga","Eukaryota;Animals;Fishes","","SAMEA4675621","PRJEB30257","GCA_900634625.1"," Chromosome",551.013,42.5376,"chromosome 1:NC_041022.1/LR131960.1; chromosome 2:NC_041023.1/LR131970.1; chromosome 3:NC_041024.1/LR131975.1; chromosome 4:NC_041025.1/LR131976.1; chromosome 5:NC_041026.1/LR131977.1; chromosome 6:NC_041027.1/LR131978.1; chromosome 7:NC_041028.1/LR131979.1; chromosome 8:NC_041029.1/LR131980.1; chromosome 9:NC_041030.1/LR131981.1; chromosome 10:NC_041031.1/LR131961.1; chromosome 12:NC_041032.1/LR131962.1; chromosome 13:NC_041033.1/LR131963.1; chromosome 14:NC_041034.1/LR131964.1; chromosome 15:NC_041035.1/LR131965.1; chromosome 16:NC_041036.1/LR131966.1; chromosome 17:NC_041037.1/LR131967.1; chromosome 18:NC_041038.1/LR131968.1; chromosome 19:NC_041039.1/LR131969.1; chromosome 20:NC_041040.1/LR131971.1; chromosome 21:NC_041041.1/LR131972.1; chromosome 22:NC_041042.1/LR131973.1; chromosome 24:NC_041043.1/LR131974.1","CAAAFN01",156,40932,"2018-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/625/GCA_900634625.1_fParRan2.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/625/GCF_900634625.1_fParRan2.1"
